"definition","base"
"BlobResourceContents","ResourceContents"
"CacheableResult","Result"
"CallToolRequest","JSONRPCIdentifiedHeader"
"CallToolRequestParams","InputResponseRequestParams"
"CallToolResult","Result"
"CallToolResultResponse","JSONRPCIdentifiedHeader"
"CancelledNotification","JSONRPCHeader"
"CancelledNotificationParams","NotificationParams"
"CompleteRequest","JSONRPCIdentifiedHeader"
"CompleteRequestParams","RequestParams"
"CompleteResult","Result"
"CompleteResultResponse","JSONRPCIdentifiedHeader"
"CreateMessageResult","SamplingMessage"
"DiscoverRequest","JSONRPCIdentifiedHeader"
"DiscoverResult","CacheableResult"
"DiscoverResultResponse","JSONRPCIdentifiedHeader"
"GetPromptRequest","JSONRPCIdentifiedHeader"
"GetPromptRequestParams","InputResponseRequestParams"
"GetPromptResult","Result"
"GetPromptResultResponse","JSONRPCIdentifiedHeader"
"HeaderMismatchError","JSONRPCHeader"
"Implementation","BaseMetadata"
"Implementation","Icons"
"InputRequiredResult","Result"
"InputResponseRequestParams","RequestParams"
"InternalError","Error"
"InvalidParamsError","Error"
"InvalidRequestError","Error"
"JSONRPCErrorResponse","JSONRPCHeader"
"JSONRPCIdentifiedHeader","JSONRPCHeader"
"JSONRPCNotification","JSONRPCHeader"
"JSONRPCNotification","Notification"
"JSONRPCRequest","JSONRPCIdentifiedHeader"
"JSONRPCRequest","Request"
"JSONRPCResultResponse","JSONRPCIdentifiedHeader"
"ListPromptsRequest","PaginatedRequest"
"ListPromptsResult","CacheableResult"
"ListPromptsResult","PaginatedResult"
"ListPromptsResultResponse","JSONRPCIdentifiedHeader"
"ListResourceTemplatesRequest","PaginatedRequest"
"ListResourceTemplatesResult","CacheableResult"
"ListResourceTemplatesResult","PaginatedResult"
"ListResourceTemplatesResultResponse","JSONRPCIdentifiedHeader"
"ListResourcesRequest","PaginatedRequest"
"ListResourcesResult","CacheableResult"
"ListResourcesResult","PaginatedResult"
"ListResourcesResultResponse","JSONRPCIdentifiedHeader"
"ListToolsRequest","PaginatedRequest"
"ListToolsResult","CacheableResult"
"ListToolsResult","PaginatedResult"
"ListToolsResultResponse","JSONRPCIdentifiedHeader"
"LoggingMessageNotification","JSONRPCHeader"
"LoggingMessageNotificationParams","NotificationParams"
"MethodNotFoundError","Error"
"MissingRequiredClientCapabilityError","JSONRPCHeader"
"NotificationMetaObject","MetaObject"
"PaginatedRequest","JSONRPCIdentifiedHeader"
"PaginatedRequestParams","RequestParams"
"PaginatedResult","Result"
"ParseError","Error"
"ProgressNotification","JSONRPCHeader"
"ProgressNotificationParams","NotificationParams"
"Prompt","BaseMetadata"
"Prompt","Icons"
"PromptArgument","BaseMetadata"
"PromptListChangedNotification","JSONRPCHeader"
"PromptReference","BaseMetadata"
"ReadResourceRequest","JSONRPCIdentifiedHeader"
"ReadResourceRequestParams","InputResponseRequestParams"
"ReadResourceRequestParams","ResourceRequestParams"
"ReadResourceResult","CacheableResult"
"ReadResourceResultResponse","JSONRPCIdentifiedHeader"
"RequestMetaObject","MetaObject"
"Resource","BaseMetadata"
"Resource","Icons"
"ResourceLink","Resource"
"ResourceListChangedNotification","JSONRPCHeader"
"ResourceRequestParams","RequestParams"
"ResourceTemplate","BaseMetadata"
"ResourceTemplate","Icons"
"ResourceUpdatedNotification","JSONRPCHeader"
"ResourceUpdatedNotificationParams","NotificationParams"
"ResultMetaObject","MetaObject"
"SubscriptionsAcknowledgedNotification","JSONRPCHeader"
"SubscriptionsAcknowledgedNotificationParams","NotificationParams"
"SubscriptionsListenRequest","JSONRPCIdentifiedHeader"
"SubscriptionsListenRequestParams","RequestParams"
"SubscriptionsListenResultMetaObject","ResultMetaObject"
"SubscriptionsListenResultResponse","JSONRPCIdentifiedHeader"
"TextResourceContents","ResourceContents"
"Tool","BaseMetadata"
"Tool","Icons"
"ToolListChangedNotification","JSONRPCHeader"
"UnsupportedProtocolVersionError","JSONRPCHeader"
